version <=1.3.0	version >=1.4.0
GPx	GPX
DI	DIO
TR	TXNRD
SelR	MSRB
SPS	SEPHS2
Fep15	SELENOE
Sel15	SELENOF
SelH	SELENOH
SelI	SELENOI
SelJ	SELENOJ
SelK	SELENOK
SelL	SELENOL
SelM	SELENOM
SelN	SELENON
SelO	SELENOO
SelP	SELENOP
SelS	SELENOS
SelU	SELENOU
SelT	SELENOT
SelW	SELENOW
